plant	time	x	y	r_stem	h_stem	r_crown	r_root	growth	ag_resources	bg_resources	salinity
Initial_000000001	24000000.0	10.0	11.0	0.1151678176583128	6.0426973679709945	2.473032305869047	1.529604864872991	0.0015883924688384803	0.4795805187480885	0.45948093798504913	0.0
Initial_000000002	24000000.0	12.0	11.0	0.0278523244996546	3.2312251584487637	0.8813177078987907	0.5448200533019613	0.0002546793674691233	0.060581870023531686	0.059456076719964064	0.0
Initial_000000001	25000000.0	10.0	11.0	0.11529435551689281	6.045511038030871	2.4749887356651783	1.5308195361431856	0.0015902947313585622	0.4803407819966899	0.4602034879889608	0.0
Initial_000000002	25000000.0	12.0	11.0	0.02798593564641988	3.238924603668777	0.8843682505324141	0.5467027849536431	0.0002563565417814671	0.06100351701042542	0.059863950550588754	0.0
Initial_000000001	26000000.0	10.0	11.0	0.11542084216132241	6.048321896916869	2.476943715853821	1.5320333186980215	0.00159219535451379	0.481101083217114	0.4609260696027726	0.0
Initial_000000002	26000000.0	12.0	11.0	0.02811967300362997	3.2466010323046013	0.8874182679785338	0.5485851917626468	0.0002580382993059039	0.061426556046249976	0.06027313524147088	0.0
Initial_000000001	27000000.0	10.0	11.0	0.11554727758329249	6.051129949779358	2.478897247967934	1.5332462134637328	0.0015940943366024628	0.48186142166860535	0.46164868213641863	0.0
Initial_000000002	27000000.0	12.0	11.0	0.028253535488618	3.2542546008537037	0.8904677405081006	0.5504672617876267	0.00025972461958266	0.061850983626637615	0.06068362735518891	0.0
Initial_000000001	28000000.0	10.0	11.0	0.11567366177465449	6.053935201753258	2.480849333538728	1.5344582213655171	0.0015959916759340897	0.4826217966126052	0.4623713249018787	0.0
Initial_000000002	28000000.0	12.0	11.0	0.028387522023512263	3.2618854640916846	0.8935166485908038	0.5523489832075266	0.0002614154821333652	0.06227679623715537	0.061095423446270974	0.0
Initial_000000001	29000000.0	10.0	11.0	0.11579999472741952	6.056737657958105	2.4827999740956614	1.5356693433275344	0.0015978873708293521	0.48338220731274295	0.46309399721317207	0.0
Initial_000000002	29000000.0	12.0	11.0	0.02852163153525327	3.269493775098668	0.8965649728936342	0.5542303443207077	0.00026311086646233883	0.06270399035359882	0.06150852006146479	0.0
Initial_000000001	30000000.0	10.0	11.0	0.1159262764337575	6.059537323498113	2.4847491711664413	1.5368795802729054	0.0015997814196200533	0.4841426530348306	0.463816698386349	0.0
Initial_000000002	30000000.0	12.0	11.0	0.02865586295560968	3.277079685285168	0.8996126942794481	0.5561113335440809	0.00026481075205785813	0.06313256244228273	0.06192291374000419	0.0
Initial_000000001	31000000.0	10.0	11.0	0.11605250688599623	6.0623342034622425	2.4866969262770193	1.5380889331237109	0.0016016738206490883	0.48490313304685506	0.4645394277394866	0.0
Initial_000000002	31000000.0	12.0	11.0	0.028790215221193082	3.284643344417445	0.9026597938055352	0.5579919394122383	0.0002665151183934109	0.06356250896032804	0.06233860101387244	0.0
Initial_000000001	32000000.0	10.0	11.0	0.1161786860766206	6.065128302924257	2.488643240951591	1.53929740280099	0.001603564572270397	0.48566364661897093	0.46526218459268104	0.0
Initial_000000002	32000000.0	12.0	11.0	0.028924687273471753	3.2921849006423725	0.9057062527221887	0.5598721505765878	0.00026822394492893056	0.06399382635594551	0.06275557840806213	0.0
Initial_000000001	33000000.0	10.0	11.0	0.11630481399827164	6.067919626942793	2.490588116712593	1.5405049902247399	0.0016054536728489276	0.486424193023495	0.4659849682680421	0.0
Initial_000000002	33000000.0	12.0	11.0	0.02905927805878331	3.2997045005118077	0.9087520524712793	0.5617519558044888	0.00026993721111201463	0.06442651106871602	0.06317384244083185	0.0
Initial_000000001	34000000.0	10.0	11.0	0.11643089064374568	6.070708180561419	2.4925315550807037	1.5417116963139135	0.0016073411207605916	0.48718477153489825	0.46670777808968567	0.0
Initial_000000002	34000000.0	12.0	11.0	0.029193986528346347	3.3072022890064976	0.9117971746848316	0.5636313439783905	0.0002716548963791272	0.0648605595298674	0.06359338962395954	0.0
Initial_000000001	35000000.0	10.0	11.0	0.11655691600599348	6.0734939688087	2.4944735575748376	1.5429175219864195	0.001609226914392228	0.48794538142979943	0.4674306133837283	0.0
Initial_000000002	35000000.0	12.0	11.0	0.0293288116382711	3.314678409559519	0.914841601183605	0.5655103040949718	0.00027337698015678514	0.06529596816254786	0.06401421646299274	0.0
Initial_000000001	36000000.0	10.0	11.0	0.11668289007811943	6.076276996698258	2.4964141257121475	1.544122468159121	0.0016111110521415607	0.48870602198695784	0.4681534734782805	0.0
Initial_000000002	36000000.0	12.0	11.0	0.029463752349569102	3.3221330040792685	0.9178853139756781	0.5673888252642832	0.00027510344186272714	0.06573273338209637	0.06443631945749546	0.0
Initial_000000001	37000000.0	10.0	11.0	0.11680881285338061	6.079057269228837	2.498353261008021	1.545326535747834	0.00161299353241716	0.4894666924872677	0.4688763577034404	0.0
Initial_000000002	37000000.0	12.0	11.0	0.029598807628161927	3.3295662129720127	0.9209282952550362	0.5692668967088917	0.00027683426090706765	0.06617085159630934	0.06485969510129191	0.0
Initial_000000001	38000000.0	10.0	11.0	0.11693468432518604	6.081834791384361	2.500290964976079	1.546529725667327	0.001614874353638405	0.49022739221374995	0.4695992653912883	0.0
