plant	time	x	y	r_stem	h_stem	r_crown	r_root	growth	ag_resources	bg_resources
Initial_000000002	3667000000.0	12.0	11.0	0.11832127284794225	9.683793798380679	4.598710603879133	1.246357757248898	6.273921740941111e-05	0.2442307154218917	0.29787715537288406
Initial_000000001	3668000000.0	10.0	11.0	0.33266494436121	9.630803352323897	5.246468934305191	3.2623628559003586	0.0018785539848524466	2.161571816210512	2.0549206044803388
Initial_000000002	3668000000.0	12.0	11.0	0.11832127802151393	9.683923884467388	4.598990743815905	1.2463577914141892	6.281993201945351e-05	0.24426043678340717	0.297871439088779
Initial_000000001	3669000000.0	10.0	11.0	0.33269480447036476	9.631201617008875	5.246797500165145	3.262569362138367	0.0018779951758707942	2.1618427099949056	2.055177432704671
Initial_000000002	3669000000.0	12.0	11.0	0.11832128322585887	9.684054139187847	4.59927123238612	1.2463578257440548	6.290075312023871e-05	0.24429019694593954	0.29786571593612965
Initial_000000001	3670000000.0	10.0	11.0	0.3327246515000619	9.631599691669582	5.2471259123154645	3.2627757720498223	0.0018774364030481267	2.162113494005976	2.0554341568499113
Initial_000000002	3670000000.0	12.0	11.0	0.11832128846118922	9.684184562767516	4.599552070012826	1.2463578602394323	6.298168085447143e-05	0.24431999596115092	0.2978599859075702
Initial_000000001	3671000000.0	10.0	11.0	0.33275448545616165	9.631997576406848	5.247454170834617	3.2629820856836456	0.0018768776665327252	2.162384168284625	2.0556907769548496
Initial_000000002	3671000000.0	12.0	11.0	0.11832129372771878	9.684315155432168	4.599833257119475	1.2463578949012653	6.306271536502029e-05	0.24434983388076661	0.29785424899573376
Initial_000000001	3672000000.0	10.0	11.0	0.3327843063445214	9.632395271321442	5.247782275801022	3.2631883030887288	0.0018763189664726657	2.162654732871742	2.0559472930582623
Initial_000000002	3672000000.0	12.0	11.0	0.118321299025663	9.684445917407881	4.60011479412993	1.2463579297305034	6.314385679490988e-05	0.24437971075657408	0.29784850519325184
Initial_000000001	3673000000.0	10.0	11.0	0.33281411417099577	9.63279277651407	5.248110227293053	3.2633944243139346	0.0018757603030158554	2.1629251878082045	2.0562037051989175
Initial_000000002	3673000000.0	12.0	11.0	0.11832130435523902	9.684576848921045	4.60039668146846	1.246357964728103	6.322510528733024e-05	0.24440962664042423	0.2978427544927542
Initial_000000001	3674000000.0	10.0	11.0	0.33284390894143673	9.633190092085368	5.248438025389038	3.263600449408097	0.0018752016763099936	2.1631955331348816	2.056460013415571
Initial_000000002	3674000000.0	12.0	11.0	0.11832130971666563	9.684707950198359	4.600678919559741	1.2463579998950256	6.330646098562911e-05	0.24443958158423035	0.29783699688686976
Initial_000000001	3675000000.0	10.0	11.0	0.3328736906616935	9.633587218135915	5.2487656701672565	3.263806378420021	0.001874643086502607	2.1634657688926278	2.056716217746969
Initial_000000002	3675000000.0	12.0	11.0	0.11832131511016332	9.68483922146683	4.600961508828854	1.24635803523224	6.338792403331575e-05	0.24446957563996866	0.2978312323682257
Initial_000000001	3676000000.0	10.0	11.0	0.3329034593376124	9.633984154766223	5.249093161705943	3.2640122113984833	0.0018740845337410165	2.1637358951222887	2.0569723182318462
Initial_000000002	3676000000.0	12.0	11.0	0.11832132053595432	9.684970662953782	4.601244449701285	1.246358070740721	6.34694945740585e-05	0.244499608859678	0.29782546092944795
Initial_000000001	3677000000.0	10.0	11.0	0.33293321497503725	9.63438090207674	5.249420500083286	3.2642179483922313	0.0018735260181723735	2.1640059118646984	2.057228314908928
Initial_000000002	3677000000.0	12.0	11.0	0.11832132599426254	9.685102274886841	4.601527742602928	1.246358106421449	6.355117275168522e-05	0.24452968129546	0.2978196825631616
Initial_000000001	3678000000.0	10.0	11.0	0.332962957579809	9.634777460167852	5.249747685377425	3.2644235894499842	0.0018729675399436296	2.1642758191606792	2.0574842078169278
Initial_000000002	3678000000.0	12.0	11.0	0.11832133148531368	9.685234057493949	4.601811387960079	1.2463581422754118	6.363295871018518e-05	0.24455979299947908	0.29781389726199003
Initial_000000001	3679000000.0	10.0	11.0	0.33299268715776587	9.635173829139877	5.250074717666456	3.2646291346204324	0.0018724090992015465	2.1645456170510444	2.0577399969945485
Initial_000000002	3679000000.0	12.0	11.0	0.11832133700933516	9.685366011003357	4.602095386199436	1.2463581783036028	6.371485259370449e-05	0.24458994402396222	0.2978081050185561
Initial_000000001	3680000000.0	10.0	11.0	0.3330224037147434	9.635570009093074	5.250401597028426	3.264834583952237	0.0018718506960927117	2.1648153055765915	2.057995682480484
Initial_000000002	3680000000.0	12.0	11.0	0.11832134256655617	9.68549813564363	4.602379737748103	1.2463582145070227	6.37968545465501e-05	0.24462013442119918	0.29780230582548123
Initial_000000001	3681000000.0	10.0	11.0	0.33305210725657436	9.635966000127636	5.250728323541337	3.2650399374940307	0.001871292330763505	2.165084884778111	2.058251264313416
Initial_000000002	3681000000.0	12.0	11.0	0.11832134815720771	9.685630431643647	4.602664443033581	1.2463582508866777	6.387896471318718e-05	0.2446503642435424	0.2977964996753862
Initial_000000001	3682000000.0	10.0	11.0	0.3330817977890888	9.636361802343695	5.251054897283146	3.265245195294418	0.0018707340033601375	2.165354354696381	2.0585067425320154
Initial_000000002	3682000000.0	12.0	11.0	0.11832135378152255	9.685762899232593	4.602949502483779	1.2463582874435815	6.39611832382384e-05	0.24468063354340647	0.2977906865608907
Initial_000000001	3683000000.0	10.0	11.0	0.333111475318114	9.636757415841315	5.251381318331761	3.2654503574019746	0.0018701757140286222	2.1656237153721687	2.058762117174944
Initial_000000002	3683000000.0	12.0	11.0	0.11832135943973529	9.68589553863997	4.603234916527001	1.2463583241787537	6.40435102664858e-05	0.24471094237326918	0.2977848664746136
Initial_000000001	3684000000.0	10.0	11.0	0.33314113984947463	9.637152840720498	5.251707586765045	3.2656554238652467	0.0018696174629147934	2.1658929668462283	2.0590173882808522
Initial_000000002	3684000000.0	12.0	11.0	0.11832136513208237	9.686028350095595	4.603520685591953	1.2463583610932212	6.412594594286877e-05	0.24474129078567056	0.29777903940917316
Initial_000000001	3685000000.0	10.0	11.0	0.3331707913889925	9.637548077081187	5.252033702660816	3.2658603947327527	0.0018690592501642814	2.166162109159305	2.0592725558883784
Initial_000000002	3685000000.0	12.0	11.0	0.11832137085880205	9.686161333829595	4.60380681010774	1.246358398188017	6.420849041248424e-05	0.24477167883321316	0.29777320535718677
Initial_000000001	3686000000.0	10.0	11.0	0.33320042994248683	9.637943125023256	5.252359666096843	3.266065270052983	0.0018685010759225448	2.1664311423521325	2.059527620036152
Initial_000000002	3686000000.0	12.0	11.0	0.11832137662013448	9.686294490072413	4.604093290503866	1.2463584354641812	6.429114382058679e-05	0.24480210656856202	0.29776736431127143
Initial_000000001	3687000000.0	10.0	11.0	0.333230055515774	9.638337984646517	5.252685477150851	3.266270049874398	0.0018679429403348612	2.166700066465432	2.0597825807627923
Initial_000000002	3687000000.0	12.0	11.0	0.11832138241632167	9.686427819054805	4.6043801272102325	1.2463584729227608	6.437390631258814e-05	0.2448325740444449	0.2977615162640431
Initial_000000001	3688000000.0	10.0	11.0	0.33325966811466773	9.638732656050722	5.253011135900518	3.2664747342454303	0.0018673848435463059	2.1669688815399146	2.060037438106907
Initial_000000002	3688000000.0	12.0	11.0	0.11832138824760753	9.68656132100784	4.604667320657137	1.2463585105648092	6.445677803405619e-05	0.24486308131365164	0.2977556612081179
Initial_000000001	3689000000.0	10.0	11.0	0.33328926774497897	9.639127139335555	5.253336642423477	3.2666793232144844	0.0018668267857017717	2.16723758761628	2.0602921921070925
Initial_000000002	3689000000.0	12.0	11.0	0.1183213941142379	9.686694996162908	4.604954871275274	1.246358548391387	6.453975913071577e-05	0.24489362842903464	0.2977497991361111
Initial_000000001	3690000000.0	10.0	11.0	0.333318854412516	9.63952143460064	5.253661996797313	3.2668838168299357	0.0018662687669459622	2.167506184735217	2.0605468428019345
Initial_000000002	3690000000.0	12.0	11.0	0.11832140001646049	9.686828844751707	4.605242779495733	1.2463585864035618	6.462284974844784e-05	0.24492421544350879	0.2977439300406376
Initial_000000001	3691000000.0	10.0	11.0	0.3333484281230844	9.639915541945538	5.2539871990995675	3.2670882151401313	0.001865710787423412	2.1677746729374014	2.06080139023001
